Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type   
Nb-Re  	L = Nb0.25Re0.75 + (Re)  	88  	87  	96  	2715  	Eutectic  
Nb-Rh  	L + (Nb) = Nb0.7Rh0.3  	33  	20.5  	30  	1663  	Peritectic  
Nb-Rh  	(Nb) + Nb0.7Rh0.3 = NbRh rt  	14  	28.5  	25  	1222  	Peritectoid  
Nb-Rh  	L = Nb0.7Rh0.3 + NbRh ht  	45  	39  	46.5  	1502  	Eutectic  
Nb-Rh  	L + Nb0.82Rh1.18 ht = NbRh ht  	54  	61  	58  	1580  	Peritectic  
Nb-Rh  	NbRh ht = Nb0.7Rh0.3 + Nb0.96Rh1.04  	49.5  	39.5  	51.5  	1337  	Eutectoid  
Nb-Rh  	NbRh ht + Nb0.88Rh1.12 rt = Nb0.96Rh1.04  	50.5  	53.5  	52  	1360  	Peritectoid  
Nb-Rh  	NbRh ht + Nb0.82Rh1.18 ht = Nb0.88Rh1.12 rt  	52  	56  	54.5  	1420  	Peritectoid  
Nb-Rh  	L + Nb0.75Rh1.25 = Nb0.82Rh1.18 ht  	55  	64  	62  	1600  	Peritectic  
Nb-Rh  	Nb0.82Rh1.18 ht = Nb0.88Rh1.12 rt + Nb0.75Rh1.25  	58  	56  	59  	1330  	Eutectoid  
Nb-Rh  	L + Nb1.3Th2.7 = Nb0.75Rh1.25  	56.5  	67  	34  	1620  	Peritectic  
Nb-Rh  	L + NbRh3 = Nb1.3Th2.7  	67  	71  	69.5  	1905  	Peritectic  
Nb-Rh  	L = NbRh3  	 	72  	 	1950  	Congruent  
Nb-Rh  	L = NbRh3 + (Rh)  	83  	79  	83.5  	1903  	Eutectic  
Nb-Ru  	L = (Nb) + NbRu ht  	40.5  	40  	41  	1870  	Eutectic  
Nb-Ru  	L = NbRu ht  	 	50  	 	1942  	Congruent  
Nb-Ru  	L = NbRu ht + (Ru)  	65  	59  	71  	1774  	Eutectic  
Nb-Ru  	NbRu ht + (Ru) = NbRu3 rt  	58  	85  	75  	1540  	Peritectoid  
Nb-S  	Nb0.9S ht = Nb0.9S rt  	 	50-52  	 	780  	Polymorphic  
Nb-S  	NbS2 ht = NbS2 rt  	 	66-67  	 	850  	Polymorphic  
Nb-S  	L + NbS2 rt = NbS3 rt  	98.5  	67  	75  	630  	Peritectic  
Nb-Sb  	L + Nb3Sb = Nb5Sb4  	80  	27  	40  	1140  	Peritectic  
Nb-Sb  	L + Nb5Sb4 = NbSb  	88  	40  	50  	1020  	Peritectic  
Nb-Sb  	L + NbSb = NbSb2  	97.5  	51  	55.6  	760  	Peritectic  
Nb-Sb  	L = NbSb2 + (Sb)  	100  	55.6  	100  	610  	Eutectic  
Nb-Sb  	L + (Nb) = Nb3Sb  	45  	20  	25  	1750  	Peritectic  
Nb-Sc  	L = (Nb) + (Sc) ht  	97  	0.1  	99.6  	1500  	Eutectic  
Nb-Sc  	(Sc) ht = (Nb) + (Sc) rt  	99.7  	0.1  	100  	1337  	Eutectoid  
Nb-Se  	L + NbSe2 2H rt = NbSe3 rt  	99.5  	66.7  	75  	780  	Peritectic  
Nb-Se  	L +NbSe3 rt = Nb2Se9  	99.8  	75  	81.8  	690  	Peritectic  
Nb-Se  	L + Nb2Se9 = (Se)  	100  	81.8  	100  	220  	Eutectic  
Nb-Si  	L = (Nb) + Nb3Si ht  	17.5  	3.5  	25  	1915  	Eutectic  
Nb-Si  	L + Nb5Si3 ht = Nb3Si ht  	19  	37.5  	25  	1975  	Peritectic  
Nb-Si  	Nb3Si ht = (Nb) + Nb5Si3 rt  	25  	1.6  	37.5  	1770  	Eutectoid  
Nb-Si  	L = Nb5Si3 ht  	 	38  	 	2515  	Congruent  
Nb-Si  	Nb3Si + Nb5Si3 ht = Nb5Si3 rt  	25  	37.5  	37.5  	1935  	Peritectoid  
Nb-Si  	Nb5Si3 ht = Nb5Si3 rt + NbSi2  	39.5  	38.5  	66.7  	1645  	Eutectoid  
Nb-Si  	L = Nb5Si3 ht + NbSi2  	57  	40.5  	66.7  	1895  	Eutectic  
Nb-Si  	L = NbSi2  	 	66.7  	 	1935  	Congruent  
Nb-Si  	L = NbSi2 + (Si)  	98  	66.7  	100  	1395  	Eutectic  
Nb-Sm  	L + (Nb) = (Sm) ht2  	99  	0  	98  	1140  	Peritectic  
Nb-Sm  	(Nb) + (Sm) ht2 = (Sm) ht1  	0  	99  	99  	927  	Peritectoid  
Nb-Sm  	(Nb) + (Sm) ht1 + (Sm) rt  	0  	99  	99  	734  	unknown  
Nb-Sn  	L + (Nb) = Nb3Sn ht  	25  	10  	15.5  	2130  	Peritectic  
Nb-Sn  	Nb3Sn ht = (Nb) + Nb6Sn5  	28  	2.5  	45.5  	796  	Eutectoid  
Nb-Sn  	L + Nb3Sn ht = Nb6Sn5 ht  	100  	33.2  	45.5  	916  	Peritectic  
Nb-Sn  	Nb6Sn5 ht = (Nb) + NbSn2  	45.5  	2  	66.7  	753  	Eutectoid  
Nb-Sn  	L + Nb6Sn5 ht = NbSn2  	100  	45.5  	66.7  	830  	Peritectic  
Nb-Sn  	L = NbSn2 + (Sn) rt  	100  	66.7  	100  	232.1  	Eutectic  
Nb-Sn  	NbSn2 + (Sn) rt + (Sn) lt  	66.7  	100  	100  	13  	unknown  
Nb-T  	(Nb)2 = (Nb)1 + NbT  	33.5  	10  	41  	105  	Monotectoid  
Nb-Te  	Nb3Te7 Te+ ht = Nb3Te7 + Nb3Te8 rt  	70.9  	70  	72.7  	440  	Eutectoid  
Nb-Te  	Nb3Te7 Te+ ht + Nb3Te8 Te = Nb3Te8 rt  	70.9  	73.4  	72.7  	450  	Peritectoid  
Nb-Te  	Nb3Te8 Te+ ht = Nb3Te8 rt + NbTe4 ht  	73.4  	72.7  	75  	430  	Eutectoid  
Nb-Te  	L + NbTe4 ht = NbTe4 rt  	99  	75  	80  	465  	Peritectic  
Nb-Te  	L + NbTe4 rt = (Te)  	100  	80.5  	100  	450  	Peritectic  
Nb-Th  	L = (Nb) + (Th) ht  	84  	0  	98.5  	1435  	Eutectic  
Nb-Th  	(Th) ht = (Nb) + (Th) rt  	98.5  	0  	100  	1355  	Eutectoid  
Nb-Tl  	L2 + (Nb) + (Tl) ht  	100  	0  	100  	304  	unknown  
Nb-Tl  	(Nb) + (Tl) ht + (Tl) rt  	0  	100  	100  	230  	unknown  
Nb-U  	(U ht2,Nb) = (Nb) + (U) ht2  	 	47.8  	 	977  	Critical  
Nb-U  	(U) ht2 = (Nb) + (U) ht1  	82.5  	28  	96.2  	650  	Monotectoid  
Nb-U  	(U) ht1 = (Nb) + (U) rt  	97  	28  	99  	640  	Eutectoid  
Nb-V  	L = (Nb,V)  	 	78  	 	1860  	Minimum  
Nb-Y  	L1 = L2 + (Nb)  	1  	54  	0  	2400  	Monotectic  
Nb-Y  	L2 = (Nb) + (Y) rt  	94  	0  	100  	1470  	Peritectic  
Nb-Y  	L + (Y) ht + (Y) rt  	95  	100  	100  	1478  	unknown  
Nb-Yb  	L1 = L2 + (Nb)  	2  	99  	0  	2450  	Monotectic  
Nb-Yb  	L2 + (Nb) + (Yb) ht  	100  	0  	100  	919  	unknown  
Nb-Yb  	(Nb) + (Yb) ht + (Yb) rt  	0  	100  	100  	795  	unknown  
Nb-Zn  	L + (Nb) = Zn7Nb6  	98.39  	0  	52.2  	1120  	Peritectic  
Nb-Zn  	L + Zn7Nb6 = Zn3Nb2  	98.48  	52.8  	55.5  	1114  	Peritectic  
Nb-Zn  	L + Zn3Nb2 = Zn2Nb  	98.97  	57.3  	66.7  	1054  	Peritectic  
Nb-Zn  	L + Zn2Nb = Zn3Nb  	99.05  	66.7  	75  	1034  	Peritectic  
Nb-Zn  	L + Zn3Nb = Zn7Nb  	100  	75.5  	87.5  	478  	Peritectic  
Nb-Zn  	L + Zn7Nb = Zn15Nb  	100  	87.5  	93.8  	429  	Peritectic  
Nb-Zn  	L = Zn15Nb + (Zn)  	100  	93.8  	100  	418  	Eutectic  
Nb-Zr  	L = (Nb,Zr ht)  	 	78.3  	 	1743  	Minimum  
Nb-Zr  	(Zr ht,Nb) = (Nb) + (Zr) ht  	 	41.2  	 	977  	Critical  
Nb-Zr  	(Zr) ht = (Nb) + (Zr) rt  	81.3  	7.9  	99.3  	620  	Monotectoid  
N-Nb  	L = (Nb) + Nb1.54N0.71  	86.5  	88  	70.5  	2350  	Eutectic  

Found: 251 reactions
Return to Contents 

ASM Alloy Phase Diagrams Center, P. Villars, editor-in-chief; H. Okamoto and K. Cenzual, section editors;
http://www1.asminternational.org/AsmEnterprise/APD, ASM International, Materials Park, OH, USA, 2006-2015
© ASM International 2015. All Rights Reserved. Version 1.0.5.0

 	Alloy Phase Diagram Database™	Element 1: Element 2: Element 3:  
HomeExplorerSearchToolsHelp
 
Special Points Table

Return to Contents

Chemical System	Reaction	%A	%B	%C	Temperature, °C 	Reaction type 
Ag-Nd  	L = (Ag) + Ag51Nd14  	10.5  	0.2  	21.5  	806  	Eutectic  
Ag-Nd  	L = Ag51Nd14  	 	23  	 	1025  	Congruent  
Ag-Nd  	L + Ag51Nd14 = Ag2Nd ht  	36  	25.5  	33.3  	825  	Peritectic  
Ag-Nd  	Ag2Nd ht = Ag2Nd rt  	 	33.3  	 	635  	Polymorphic  
Ag-Nd  	L = Ag2Nd ht + AgNd  	40.8  	33.3  	50  	810  	Eutectic  
Ag-Nd  	L = AgNd  	 	50  	 	952  	Congruent  
Ag-Nd  	L = AgNd + (Nd) rt  	80  	50  	99  	640  	Eutectic  
Ag-Nd  	(Nd) ht = L + (Nd) rt  	96.5  	84  	98.5  	741  	Catatectic  
Al-Nd  	L = (Al) + Nd3Al11 rt  	2.5  	0  	21.4  	632  	Eutectic  
Al-Nd  	L + NdAl2 = NdAl4 ht  	16  	33.3  	21.4  	1235  	Peritectic  
Al-Nd  	NdAl4 ht = Nd3Al11 rt  	 	21.4  	 	950  	Polymorphic  
Al-Nd  	L = NdAl2  	 	33.3  	 	1460  	Congruent  
Al-Nd  	L + NdAl2 = NdAl  	69  	33.3  	50  	940  	Peritectic  
Al-Nd  	L + NdAl = Nd2Al  	77  	50  	66.7  	795  	Peritectic  
Al-Nd  	NdAl4 ht + NdAl2 = NdAl3 rt  	21.4  	33.3  	25  	1205  	Peritectoid  
Al-Nd  	L + Nd2Al = Nd3Al  	77.5  	66.7  	75  	780  	Peritectic  
Al-Nd  	L = Nd3Al + (Nd) ht  	81  	75  	88  	690  	Eutectic  
Al-Nd  	(Nd) ht = AlNd3 + (Nd) rt  	90  	75  	98  	650  	Eutectoid  
As-Nd  	L = NdAs rt  	 	50  	 	2220  	Congruent  
As-Nd  	L + NdAs rt = Nd3As  	80  	50  	75  	1690  	Peritectic  
As-Nd  	L = Nd3As + (Nd) ht  	98.5  	75  	99  	970  	Eutectic  
As-Nd  	(Nd) ht = Nd3As + (Nd) rt  	99  	75  	99.5  	850  	Eutectoid  
Au-Nd  	L = (Au) + Au6Nd  	9.5  	0  	14.3  	796  	Eutectic  
Au-Nd  	L + Au51Nd14 = Au6Nd  	10.8  	21.5  	14.3  	843  	Peritectic  
Au-Nd  	L = Au51Nd14  	 	21.5  	 	1179  	Congruent  
Au-Nd  	L = Au51Nd14 + Au36Nd17 ht  	27.4  	21.5  	33.3  	1060  	Eutectic  
Au-Nd  	L = Au36Nd17 ht  	 	33.3  	 	1197  	Congruent  
Au-Nd  	Au36Nd17 ht = Au51Nd14 + AuNd rt  	33.3  	21.5  	50  	161  	Eutectoid  
Au-Nd  	L = Au36Nd17 ht + AuNd rt  	37.1  	33.3  	50  	1147  	Eutectic  
Au-Nd  	L = AuNd rt  	 	50  	 	1450  	Congruent  
Au-Nd  	L + AuNd rt = AuNd2  	72.7  	50  	66.7  	818  	Peritectic  
Au-Nd  	L = AuNd2 + (Nd) rt  	82.4  	66.7  	100  	655  	Eutectic  
Au-Nd  	L + (Nd) ht + (Nd) rt  	92.4  	100  	100  	862  	unknown  
Ba-Nd  	L2 = L1 + (Nd) ht  	98  	3  	100  	1020  	Monotectic  
Ba-Nd  	L1 + (Nd) ht + (Nd) rt  	1  	100  	100  	863  	unknown  
Ba-Nd  	(Ba) + (Nd) ht + (Nd) rt  	0  	100  	100  	727  	unknown  
Bi-Nd  	L = (Bi) + NdBi2  	0  	0  	33.3  	271.4  	Eutectic  
Bi-Nd  	L + NdBi = NdBi2  	30  	50  	33.3  	1600  	Peritectic  
Bi-Nd  	L = NdBi  	 	50  	 	1900  	Congruent  
Bi-Nd  	L + NdBi = Nd4Bi3  	59  	50  	57.1  	1750  	Peritectic  
Bi-Nd  	L + Nd4Bi3 = Nd5Bi3  	76  	57.1  	62.5  	1230  	Peritectic  
Bi-Nd  	L + Nd5Bi3 = Nd2Bi  	78  	62.5  	66.7  	1150  	Peritectic  
Bi-Nd  	L = Nd2Bi + (Nd) ht  	92.5  	66.7  	99  	880  	Eutectic  
Bi-Nd  	(Nd) ht = Nd2Bi + (Nd) rt  	99  	66.7  	100  	820  	Eutectoid  
B-Nd  	L = (B) rhom1 + NdB66  	0.5  	0  	1.5  	2050  	Eutectic  
B-Nd  	L + NdB6 = NdB66  	1  	6  	1.5  	2150  	Peritectic  
B-Nd  	L = NdB6  	 	14.3  	 	2610  	Congruent  
B-Nd  	L + NdB6 = NdB4  	27  	14.3  	20  	2400  	Peritectic  
B-Nd  	L + NdB4 = Nd2B5  	35  	20  	28.6  	1350  	Peritectic  
B-Nd  	L = Nd2B5 + (Nd) ht  	99.2  	28.6  	100  	1010  	Eutectic  
B-Nd  	Nd2B5 + (Nd) ht + (Nd) rt  	28.6  	100  	100  	863  	unknown  
Ca-Nd  	L2 = L1 + (Nd) ht  	76.6  	2  	86.6  	892  	Monotectic  
Ca-Nd  	L1 = (Ca) ht + (Nd) ht  	0.5  	0.1  	87.1  	831  	Eutectic  
Ca-Nd  	(Ca) ht + (Nd) ht = (Ca) rt  	0  	93  	0  	777  	Peritectoid  
Ca-Nd  	(Nd) ht = (Ca) rt + (Nd) rt  	93  	0  	96  	429  	Eutectoid  
Cd-Nd  	L + (Cd) + Cd11Nd  	0  	0  	8.3  	321.108  	unknown  
Cd-Nd  	L + Cd6Nd = Cd11Nd  	2.6  	14.3  	8.3  	530  	Peritectic  
Ce-Nd  	(Ce ht2,Nd ht) = (Ce) ht2 + (Ce rt,Nd rt)  	25  	16  	37  	700  	Eutectoid  
Cl-Nd  	L = NdCl3  	 	25  	 	768  	Congruent  
Cl-Nd  	L = NdCl3 + Nd3Cl7  	28.2  	25  	30  	631  	Eutectic  
Cl-Nd  	L + Nd7Cl16 = Nd3Cl7  	29  	30.4  	30  	676  	Peritectic  
Cl-Nd  	L + NdCl2 = Nd7Cl16  	29.9  	33.3  	30.4  	703  	Peritectic  
Cl-Nd  	Nd7Cl16 + NdCl2 = Nd4Cl9  	30.4  	33.3  	30.8  	692  	Peritectoid  
Co-Nd  	(Co) ht + (Co) rt + Nd2Co17  	0  	0  	10.5  	422  	unknown  
Co-Nd  	L = (Co) ht + Nd2Co17  	7  	0  	10.5  	1306  	Eutectic  
Co-Nd  	L = Nd2Co17  	 	10.5  	 	1370  	Congruent  
Co-Nd  	L + Nd2Co17 = NdCo5  	26  	10.5  	16.7  	1266  	Peritectic  
Co-Nd  	L + NdCo5 = Nd5Co19  	34  	16.7  	20.8  	1152  	Peritectic  
Co-Nd  	L + Nd5Co19 = Nd2Co7  	35  	20.8  	22.2  	1143  	Peritectic  
Co-Nd  	L + Nd2Co7 = NdCo3  	37  	22.2  	25  	1100  	Peritectic  
Co-Nd  	L + NdCo3 = NdCo2  	40  	25  	33.3  	1050  	Peritectic  
Co-Nd  	L + NdCo2 = Nd2Co3 ht  	57  	33.3  	40  	650  	Peritectic  
Co-Nd  	Nd2Co3 ht = Nd2Co3 rt  	 	40  	 	583  	Polymorphic  
Co-Nd  	L + Nd2Co3 ht = Nd2Co1.7  	60.5  	40  	54.1  	599  	Peritectic  
Co-Nd  	L = Nd2Co1.7 + Nd7Co3  	64  	54.1  	70  	566  	Eutectic  
Co-Nd  	L + Nd3Co = Nd7Co3  	68  	75  	70  	596  	Peritectic  
Co-Nd  	L = Nd3Co  	 	75  	 	646  	Congruent  
Co-Nd  	L = Nd3Co + (Nd) rt  	80  	75  	100  	625  	Eutectic  
Co-Nd  	L + (Nd) ht + (Nd) rt  	92  	100  	100  	863  	unknown  
Cr-Nd  	L1 = L2 + (Cr)  	6.6  	93.4  	0  	1795.2  	Monotectic  
Cr-Nd  	L2 = (Cr) + (Nd) ht  	99.75  	0  	100  	1015.9  	Eutectic  
Cr-Nd  	(Cr) + (Nd) ht +(Nd) rt  	100  	0  	100  	863  	unknown  
Cu-Nd  	L = (Cu) + Cu6Nd rt  	8.4  	0  	14.3  	896  	Eutectic  
Cu-Nd  	L = Cu6Nd rt  	 	14.3  	 	950  	Congruent  
Cu-Nd  	L + Cu6Nd rt = Cu5Nd  	23.6  	14.3  	16.7  	845  	Peritectic  
Cu-Nd  	L + Cu5Nd = Cu4Nd  	24.7  	16.7  	20  	827  	Peritectic  
Cu-Nd  	L = Cu4Nd + Cu2Nd  	26.9  	20  	33.3  	800  	Eutectic  
Cu-Nd  	L = Cu2Nd  	 	33.3  	 	838  	Congruent  
Cu-Nd  	L + Cu2Nd = CuNd  	511  	33.3  	50  	616  	Peritectic  
Cu-Nd  	L = CuNd + (Nd)  	69.9  	50  	100  	459  	Eutectic  
Cu-Nd  	L + (Nd) ht + (Nd) rt  	90.5  	100  	100  	855  	unknown  
Er-Nd  	L + (Er) = (Nd) ht  	60  	29  	50  	1200  	Peritectic  
Fe-Nd  	L + (Fe) rt + (Fe) ht  	11  	0  	0  	1394  	unknown  
Fe-Nd  	(Fe) ht + (Fe) rt + Nd2Fe17  	0  	0  	10.5  	912  	unknown  
Fe-Nd  	L + (Fe) ht = Nd2Fe17  	30.5  	0  	10.5  	1208  	Peritectic  
Fe-Nd  	L + Nd2Fe17 = Nd5Fe17  	71  	10.5  	22.7  	780  	Peritectic  
Fe-Nd  	L = Nd5Fe17 + (Nd) rt  	78  	22.7  	100  	685  	Eutectic  
Fe-Nd  	L + (Nd) ht + (Nd) rt  	90.5  	100  	100  	863  	unknown  
Ga-Nd  	L = (Ga) + NdGa6 rt  	0  	0  	14.3  	27  	Eutectic  
Ga-Nd  	L + NdGa2 = NdGa6 ht  	7  	20  	14.3  	622  	Peritectic  
Ga-Nd  	NdGa6 ht = NdGa6 rt  	 	14.3  	 	456  	Polymorphic  
Ga-Nd  	L = NdGa2  	 	32  	 	1488  	Congruent  
Ga-Nd  	L + NdGa2 = NdGa  	63  	33.3  	50  	905  	Peritectic  
Ga-Nd  	L + NdGa = Nd5Ga3  	67  	50  	62.5  	884  	Peritectic  
Ga-Nd  	L + Nd5Ga3 = Nd3Ga  	76  	62.5  	75  	786  	Peritectic  
Ga-Nd  	L = Nd3Ga + (Nd) rt  	80  	75  	100  	651  	Eutectic  
Ga-Nd  	(Nd) ht = L + (Nd) rt  	98.5  	87  	99  	813  	Catatectic  
Ge-Nd  	L = (Ge) + NdGe1.6 ht  	16  	0.5  	38.4  	828  	Eutectic  
Ge-Nd  	L = NdGe1.6 ht  	 	39  	 	1487  	Congruent  
Ge-Nd  	(Ge) + NdGe1.6 ht = NdGe1.6 rt  	0  	38.4  	38.4  	680  	Peritectoid  
Ge-Nd  	NdGe1.6 ht = NdGe1.6 rt + NdGe  	39.5  	39.5  	50  	615  	Eutectoid  
Ge-Nd  	L = NdGe1.6 ht + NdGe  	48  	39.5  	50  	1390  	Eutectic  
Ge-Nd  	L + Nd5Ge4 = NdGe  	18.5  	56  	51  	1397  	Peritectic  
Ge-Nd  	L + Nd5Ge3 = Nd5Ge4  	51  	62  	56.5  	1490  	Peritectic  
Ge-Nd  	L = Nd5Ge3  	 	62.5  	 	1580  	Congruent  
Ge-Nd  	L = Nd5Ge3 + (Nd) rt  	90  	63  	99  	825  	Eutectic  
Ge-Nd  	L + (Nd) ht + (Nd) rt  	92  	99  	99  	863  	unknown  
Hg-Nd  	L1 + (Hg) lt + Hg6.5Nd  	0  	0  	14  	-38.829  	unknown  
Hg-Nd  	? + Hg3Nd = Hg45Nd11  	 	25  	19.7  	390  	unknown  
Hg-Nd  	L + Hg2Nd = Hg3Nd  	13  	33.3  	25  	800  	Peritectic  
Hg-Nd  	L = Hg2Nd  	 	33.3  	 	1100  	Congruent  
Hg-Nd  	L = Hg2Nd + HgNd  	40  	33.3  	50  	1040  	Eutectic  
Hg-Nd  	L = HgNd  	 	50  	 	1160  	Congruent  
Hg-Nd  	L = HgNd + (Nd) ht  	85  	50  	91  	720  	Eutectic  
Hg-Nd  	(Nd) ht = HgNd + (Nd) rt  	95  	50  	97  	640  	Eutectoid  
H-Nd  	L + Nd2H4.7 = (Nd) ht  	66.5  	49  	64  	1150  	Peritectic  
H-Nd  	(Nd) ht = (Nd) rt + Nd3H ht  	88  	90  	82  	814  	Eutectoid  
H-Nd  	(Nd) ht + Nd2H4.7 = Nd3H ht  	69  	43  	64  	880  	Peritectoid  
H-Nd  	Nd3H ht = (Nd) rt + Nd2H4.7  	77.5  	86  	40  	680  	Eutectoid  
Ho-Nd  	L + (Ho) = (Nd) ht  	59  	32  	47  	1200  	Peritectic  
In-Nd  	L = (In) + NdIn3 rt  	0  	0  	25  	156  	Eutectic  
In-Nd  	L = NdIn3 rt  	 	25  	 	1220  	Congruent  
In-Nd  	L = NdIn3 rt + Nd3In5  	35  	25  	37.5  	1150  	Eutectic  
In-Nd  	L = Nd3In5  	 	37.5  	 	1190  	Congruent  
In-Nd  	L = Nd3In5 + NdIn  	45  	37.5  	50  	1130  	Eutectic  
In-Nd  	L = NdIn  	 	51  	 	1230  	Congruent  
In-Nd  	L + NdIn = Nd2In  	68  	59  	66.7  	1070  	Peritectic  
In-Nd  	L + Nd2In = Nd3In  	80  	66.7  	75  	930  	Peritectic  
In-Nd  	L = Nd3In + (Nd) ht  	85  	75  	88  	880  	Eutectic  
In-Nd  	(Nd) ht = Nd3In + (Nd) rt  	90  	75  	95  	740  	Eutectoid  
Ir-Nd  	L = (Ir) + Nd5Ir  	16  	0  	16.7  	1870  	Eutectic  
Ir-Nd  	L = Nd5Ir  	 	16.7  	 	1875  	Congruent  
Ir-Nd  	L = Nd5Ir + Nd2Ir7  	17  	16.7  	22.2  	1870  	Eutectic  
Ir-Nd  	L + NdIr3 rhom = Nd2Ir7  	18.5  	25  	16.7  	2000  	Peritectic  
Ir-Nd  	L + NdIr2 = NdIr3 rhom  	21  	32  	25  	2150  	Peritectic  
Ir-Nd  	L = NdIr2  	 	33.3  	 	2400  	Congruent  
Ir-Nd  	L + NdIr2 = Nd5Ir3 ht  	63  	35  	62.5  	1300  	Peritectic  
Ir-Nd  	L + Nd5Ir3 ht = Nd5Ir2  	74  	62.5  	71.4  	1150  	Peritectic  
Ir-Nd  	L + Nd5Ir2 = Nd3Ir  	78  	71.4  	75  	1050  	Peritectic  
Ir-Nd  	L + Nd3Ir = Nd4Ir  	83  	75  	80  	950  	Peritectic  
Ir-Nd  	L = Nd4Ir + (Nd) ht  	90  	80  	98  	900  	Eutectic  
Ir-Nd  	(Nd) ht = Nd4Ir + (Nd) rt  	99  	80  	100  	750  	Eutectoid  
La-Nd  	(La ht2,Nd ht) = (La) ht1 + (La rt,Nd rt)  	47  	31  	70  	825  	Eutectoid  
Li-Nd  	L1 = (Li) rt + (Nd) rt  	4  	0  	100  	145  	Eutectic  
Li-Nd  	L2 = L1 + (Nd) rt  	71.4  	11  	100  	780  	Monotectic  
Li-Nd  	L2 + (Nd) ht + (Nd) rt  	80  	100  	100  	863  	unknown  
Lu-Nd  	L + (Lu) + (Nd) ht  	50  	25  	41  	1300  	Peritectic  
Mg-Nd  	L = (Mg) + Mg41Nd5  	7.5  	1  	10  	545  	Eutectic  
Mg-Nd  	L + Mg3Nd = Mg41Nd5  	8  	19.5  	11  	560  	Peritectic  
Mg-Nd  	L = Mg3Nd  	 	25  	 	780  	Congruent  
Mg-Nd  	L + Mg3Nd = Mg2Nd ht  	35  	25.8  	33.3  	755  	Peritectic  
Mg-Nd  	Mg2Nd ht = Mg3Nd + MgNd  	33.3  	25.8  	47  	660  	Eutectoid  
Mg-Nd  	L = Mg2Nd ht + MgNd rt  	35.5  	33.3  	46.7  	750  	Eutectic  
Mg-Nd  	L = MgNd rt  	 	49.5  	 	800  	Congruent  
Mg-Nd  	L = MgNd rt + (Nd) ht  	57.5  	50  	66  	775  	Eutectic  
Mg-Nd  	(Nd) ht = MgNd rt + (Nd) rt  	83  	50.7  	91.8  	545  	Eutectoid  
Mn-Nd  	L + (Mn) ht3 + (Mn) ht2  	12  	0  	0  	1138  	unknown  
Mn-Nd  	L + (Mn) ht2 + (Mn) ht1  	17  	0  	0  	1100  	unknown  
Mn-Nd  	L + (Nd) ht + (Nd) rt  	83.5  	100  	100  	863  	unknown  
Mn-Nd  	(Mn) ht1 + (Mn) rt + Nd6Mn23 ht  	0  	0  	20.7  	727  	unknown  
Mn-Nd  	L + (Mn) ht1 = Nd6Mn23 ht  	37  	0  	20.7  	975  	Peritectic  
Mn-Nd  	Nd6Mn23 ht = (Mn) ht1 + NdMn2 ht  	20.7  	0  	33.3  	600  	Eutectoid  
Mn-Nd  	Nd6Mn23 ht + (Nd) rt = NdMn2 ht  	20.7  	100  	33.3  	650  	Eutectoid  
Mn-Nd  	NdMn2 ht = (Mn) rt + (Nd) rt  	33.3  	0  	100  	550  	Eutectoid  
Mn-Nd  	L = Nd6Mn23 ht + (Nd) rt  	72  	20.7  	100  	700  	Eutectic  
Mo-Nd  	L1 = L2 + (Mo)  	4  	75  	0.3  	2517  	Monotectic  
Mo-Nd  	L2 = (Mo) + (Nd) ht  	99.76  	0  	100  	1012  	Eutectic  
Mo-Nd  	(Mo) = (Nd) ht + (Nd) rt  	0  	100  	100  	863  	unknown  
Nd-Ni  	L + (Nd) ht + (Nd) rt  	8  	0  	0  	855  	unknown  
Nd-Ni  	L = (Nd) rt + Nd3Ni  	20.5  	0  	25  	561  	Eutectic  
Nd-Ni  	L = Nd3Ni  	 	25  	 	585  	Congruent  
Nd-Ni  	L = Nd3Ni + Nd7Ni3  	27  	25  	30  	580  	Eutectic  
Nd-Ni  	L = Nd7Ni3  	 	30  	 	600  	Congruent  
Nd-Ni  	L = Nd7Ni3 + NbNi  	37.5  	30  	50  	528  	Eutectic  
Nd-Ni  	L = NdNi  	 	50  	 	780  	Congruent  
Nd-Ni  	L = NdNi + NdNi2  	56.5  	50  	66.7  	720  	Eutectic  
Nd-Ni  	L + NdNi3 = NdNi2  	65  	75  	66.7  	928  	Peritectic  
Nd-Ni  	L + Nd2Ni7 + NdNi3  	68  	77.8  	75  	1013  	Peritectic  
Nd-Ni  	L + NdNi5 = Nd2Ni7  	71  	83.3  	77.8  	1115  	Peritectic  
Nd-Ni  	L = NdNi5  	 	83.3  	 	1420  	Congruent  
Nd-Ni  	L + NdNi5 = Nd2Ni17 ht  	91  	83.3  	89.5  	1299  	Peritectic  
Nd-Ni  	Nd2Ni17 ht = NdNi5 + (Ni)  	89.5  	83.3  	100  	1250  	Eutectoid  
Nd-Ni  	L = Nd2Ni17 ht + (Ni)  	92  	89.5  	100  	1286  	Eutectic  
Nd-O  	L = (Nd) ht + NdO ht  	3  	0  	50  	1010  	Eutectic  
Nd-O  	(Nd) ht + (Nd) rt + Nd2O3 rt  	0  	0  	60  	863  	unknown  
Nd-O  	L + Nd2O3 rt  	45.5  	60  	50  	1810  	Peritectic  
Nd-O  	NdO ht = (Nd) ht + Nd2O3 rt  	50  	100  	60  	950  	Eutectoid  
Nd-O  	L = Nd2O3 rt  	 	60  	 	2272  	Congruent  
