Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type  
Ag-Er  	L = Ag2Er  	 	33.3  	 	1020  	Congruent  
Ag-Er  	L = Ag2Er + AgEr  	37  	33.3  	50  	993  	Eutectic  
Ag-Er  	L = AgEr  	 	50  	 	1195  	Congruent  
Ag-Er  	L = AgEr + (Er)  	76  	50  	199  	932  	Eutectic  
Ag-Eu  	L = (Ag) + Ag5Eu  	12.5  	0  	16.7  	712  	Eutectic  
Ag-Eu  	L + Ag4Eu = Ag5Eu  	16  	20  	16.7  	722  	Peritectic  
Ag-Eu  	L = Ag4Eu  	 	20  	 	745  	Congruent  
Ag-Eu  	L = Ag4Eu + Ag2Eu  	25.5  	20  	33.3  	699  	Eutectic  
Ag-Eu  	L = Ag2Eu  	 	33.3  	 	792  	Congruent  
Ag-Eu  	L = Ag2Eu + AgEu  	48  	38  	50  	648  	Eutectic  
Ag-Eu  	L = AgEu  	 	50  	 	673  	Congruent  
Ag-Eu  	L + AgEu = Ag2Eu3  	61.5  	50  	60  	570  	Peritectic  
Ag-Eu  	L = Ag2Eu3 + (Eu)  	79  	60  	100  	429  	Eutectic  
Ag-Fe  	L2 = L1 + (Fe) rt  	99.5  	0.9  	100  	1533  	Monotectic  
Ag-Fe  	L1 + (Fe) rt = (Fe) ht  	0.5  	100  	100  	1398  	Peritectic  
Ag-Fe  	L1 = (Ag) + (Fe) ht  	0  	0  	100  	961  	Eutectic  
Ag-Fe  	(Fe) ht = (Ag) + (Fe) rt  	100  	0  	100  	770  	Eutectoid  
Ag-Ga  	L + (Ag) = Ag0.75Ga0.25 ht  	29  	18  	22  	612  	Peritectic  
Ag-Ga  	Ag0.75Ga0.25 ht = (Ag) + Ag2Ga rt  	22  	18  	26  	402  	Eutectoid  
Ag-Ga  	Ag0.75Ga0.25 ht = L + Ag2Ga rt  	34  	59  	33  	420  	Catatectic  
Ag-Ga  	Ag0.75Ga0.25 ht = Ag2Ga rt  	 	29  	 	435  	Maximum  
Ag-Ga  	L + Ag2Ga rt = AgGa  	86  	32.5  	50  	305  	Peritectic  
Ag-Ga  	L = AgGa + (Ga)  	96.5  	50  	100  	26  	Eutectic  
Ag-Gd  	L = (Ag) + Ag51Gd14  	11  	0.95  	21.5  	805  	Eutectic  
Ag-Ge  	L = (Ag) + (Ge)  	24.5  	9.6  	100  	651  	Eutectic  
Ag-Hf  	unknown  	 	 	 	 	unknown  
Ag-Hg  	L + (Ag) = Ag0.55Hg0.45  	96  	37.3  	44.8  	276  	Peritectic  
Ag-Hg  	L + Ag0.55Hg0.45 = Ag5Hg7.55  	99.3  	46  	56.8  	127  	Peritectic  
Ag-Hg  	L = Ag5Hg7.55 + (Hg) lt  	100  	57  	100  	-39  	Eutectic  
Ag-Ho  	L = (Ag) + Ag51Ho14  	11.5  	1.6  	21  	795  	Eutectic  
Ag-Ho  	L = Ag51Ho14  	 	22  	 	920  	Congruent  
Ag-Ho  	L = Ag51Ho14 + Ag2Ho  	26.5  	24.5  	33.3  	890  	Eutectic  
Ag-Ho  	L = Ag2Ho  	 	33.3  	 	990  	Congruent  
Ag-Ho  	L = Ag2Ho + AgHo  	36.5  	33.3  	50  	970  	Eutectic  
Ag-Ho  	L = AgHo  	 	50  	 	1165  	Congruent  
Ag-Ho  	L = AgHo + (Ho)  	81  	50  	100  	880  	Eutectic  
Ag-In  	L + (Ag) = Ag0.75In0.25 ht2  	29.5  	21  	25  	695  	Peritectic  
Ag-In  	(Ag) + Ag0.75In0.25 ht2 = Ag0.75In0.25 ht1  	20.9  	26.5  	25  	670  	Peritectoid  
Ag-In  	(Ag) + Ag0.75In0.25 ht1 = Ag3In  	20  	25.5  	25  	187  	Peritectoid  
Ag-In  	Ag0.75In0.25 ht2 = L + Ag0.75In0.25 ht1  	29  	26.5  	32.5  	660  	Catatectic  
Ag-In  	Ag0.75In0.25 ht1 = Ag2In  	 	33.3  	 	312  	Maximum  
Ag-In  	Ag0.75In0.25 ht1 = L + Ag2In  	45.9  	92.2  	33.5  	205  	Catatectic  
Ag-In  	L + Ag2In = AgIn2  	95  	33.5  	66.7  	166  	Peritectic  
Ag-In  	L = AgIn2 + (In)  	96.8  	66.7  	100  	144  	Eutectic  
Ag-Ir  	L1 = (Ag) + (Ir)  	0  	0  	100  	961  	Eutectic  
Ag-La  	L = (Ag) + Ag5La ht  	10  	0.05  	16.7  	792  	Eutectic  
Ag-La  	L + Ag51La14 = Ag5La ht  	14  	21.5  	16.7  	825  	Peritectic  
Ag-La  	Ag5La ht = Ag2.5La0.5 rt  	 	16.7  	 	545  	Polymorphic  
Ag-La  	L = Ag51La14  	 	25  	 	1005  	Congruent  
Ag-La  	L + Ag51La14 = Ag2La  	36  	25  	33.3  	860  	Peritectic  
Ag-La  	L = Ag2La + AgLa  	43  	33.33  	50  	800  	Eutectic  
Ag-La  	L = AgLa  	 	50  	 	880  	Congruent  
Ag-La  	L = AgLa + (La) ht1  	76.5  	50  	100  	535  	Eutectic  
Ag-La  	(La) ht2 = L + (La) ht1  	97  	93  	100  	793  	Catatectic  
Ag-La  	AgLa + (La) ht1 + (La) rt  	50  	100  	100  	310  	unknown  
Ag-Li  	L + Li5Al4 rt = Li4Ag  	86.5  	76  	77.5  	154  	Peritectic  
Ag-Li  	Li4Ag + (Li) rt = Li5Ag rt  	85  	96  	90  	90  	Peritectoid  
Ag-Li  	(Ag) = LiAg  	 	52  	 	330  	Maximum  
Ag-Li  	(Ag) = L + LiAg  	60.9  	67.6  	60.8  	317  	Catatectic  
Ag-Li  	LiAg = Li5Al4 rt  	 	65.5  	 	201  	Maximum  
Ag-Li  	LiAg = L + Li5Al4 rt  	77  	85  	76  	164  	Catatectic  
Ag-Li  	L = Li4Ag + (Li) rt  	86  	86  	91  	145.5  	Eutectic  
Ag-Lu  	L = (Ag) + Ag4Lu  	 	5.78  	 	814  	Eutectic  
Ag-Mg  	(Ag) = MgAg3 rt  	 	25  	 	392  	Maximum  
Ag-Mg  	L = (Ag) + MgAg  	33.4  	29.3  	35.5  	759.3  	Eutectic  
Ag-Mg  	(Ag) = MgAg3 rt + MgAg  	26.5  	26.5  	40  	365  	Eutectoid  
Ag-Mg  	L = MgAg  	 	50  	 	820  	Congruent  
Ag-Mg  	L + MgAg = Mg54Ag17 ht  	77.46  	65.43  	77  	494  	Peritectic  
Ag-Mg  	MgAg + Mg54Ag17 ht = Mg54Ag17 rt  	64.5  	75.8  	75.8  	484  	Peritectoid  
Ag-Mg  	Mg54Ag17 ht = Mg54Ag17 rt + Mg4Ag  	78.2  	78.2  	80  	447  	Eutectoid  
Ag-Mg  	L = Mg54Ag17 ht + (Mg)  	82.43  	78.2  	96.17  	472  	Eutectic  
Ag-Mg  	Mg54Ag17 ht + (Mg) = Mg4Ag  	78.2  	96.2  	80  	465  	Peritectoid  
Ag-Mn  	L2 = L1 + (Mn) ht3  	94.8  	52.4  	98.8  	1207  	Monotectic  
Ag-Mn  	(Mn) ht3 = L1 + (Mn) ht2  	99  	46.3  	99.3  	1128  	Catatectic  
Ag-Mn  	(Mn) ht2 = L1 + (Mn) ht1  	99.4  	42.6  	99.5  	1069  	Catatectic  
Ag-Mn  	L1 + (Mn) ht1 = (Ag)  	38  	99.6  	43.6  	989  	Peritectic  
Ag-Mn  	(Mn) ht1 = (Ag) + (Mn) rt  	100  	30.9  	100  	724  	Eutectoid  
Ag-Mo  	L = (Ag) + (Mo)  	0.4  	0  	100  	958.5  	Eutectic  
Ag-Na  	L + (Ag) = NaAg2  	99  	0  	33.3  	322  	Peritectic  
Ag-Na  	L = NaAg2 + (Na) rt  	100  	33.3  	100  	97.7  	Eutectic  
Ag-Nd  	L = (Ag) + Ag51Nd14  	10.5  	0.2  	21.5  	806  	Eutectic  
